team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Arsenal,23,26.4,58.5,11,121,990,11.0,20,14,34,18,2,2,11,0,18.8,17.2,11.5,28.7,218,484,1.82,1.27,3.09,1.64,2.91,1.71,1.05,2.76,1.57,2.61
Aston Villa,23,28.4,53.7,11,121,990,11.0,13,10,23,13,0,0,19,1,9.1,9.1,7.1,16.2,161,400,1.18,0.91,2.09,1.18,2.09,0.83,0.65,1.48,0.83,1.48
Bournemouth,24,25.6,50.5,11,121,990,11.0,17,11,28,16,1,2,27,0,13.2,11.6,8.1,19.8,185,387,1.55,1.00,2.55,1.45,2.45,1.20,0.74,1.94,1.06,1.80
Brentford,21,25.4,43.5,11,121,990,11.0,17,8,25,14,3,4,23,0,16.3,13.2,9.9,23.1,143,280,1.55,0.73,2.27,1.27,2.00,1.48,0.90,2.38,1.20,2.10
Brighton,24,26.0,48.8,11,121,990,11.0,17,11,28,15,2,3,28,0,16.6,14.3,11.1,25.5,199,377,1.55,1.00,2.55,1.36,2.36,1.51,1.01,2.52,1.30,2.32
Burnley,23,27.7,38.8,11,121,990,11.0,14,11,25,14,0,0,18,1,8.2,8.2,6.3,14.4,98,258,1.27,1.00,2.27,1.27,2.27,0.74,0.57,1.31,0.74,1.31
Chelsea,25,24.5,59.3,11,121,990,11.0,21,15,36,20,1,1,23,3,20.4,19.6,16.2,35.7,229,470,1.91,1.36,3.27,1.82,3.18,1.85,1.47,3.32,1.78,3.25
Crystal Palace,22,26.8,42.0,11,121,990,11.0,13,6,19,11,2,2,19,0,19.0,17.5,12.2,29.6,127,333,1.18,0.55,1.73,1.00,1.55,1.73,1.11,2.83,1.59,2.70
Everton,19,28.6,45.2,11,121,990,11.0,12,9,21,11,1,1,26,0,14.8,14.0,11.2,25.2,168,367,1.09,0.82,1.91,1.00,1.82,1.34,1.02,2.36,1.27,2.29
Fulham,22,28.2,50.3,11,121,990,11.0,9,6,15,9,0,0,21,0,10.7,10.7,7.9,18.6,214,386,0.82,0.55,1.36,0.82,1.36,0.97,0.72,1.69,0.97,1.69
Leeds United,22,27.0,48.2,11,121,990,11.0,10,4,14,9,1,1,16,0,12.7,12.0,8.8,20.8,167,337,0.91,0.36,1.27,0.82,1.18,1.16,0.80,1.95,1.09,1.89
Liverpool,22,26.9,60.5,11,121,990,11.0,18,12,30,17,1,1,23,0,17.7,17.0,14.0,30.9,266,545,1.64,1.09,2.73,1.55,2.64,1.61,1.27,2.88,1.54,2.81
Manchester City,23,25.6,56.5,11,121,990,11.0,21,19,40,21,0,1,18,0,19.3,18.5,16.3,34.9,294,430,1.91,1.73,3.64,1.91,3.64,1.76,1.48,3.24,1.68,3.17
Manchester Utd,20,26.5,50.5,11,121,990,11.0,17,13,30,16,1,3,14,1,18.2,15.9,12.2,28.0,190,415,1.55,1.18,2.73,1.45,2.64,1.66,1.11,2.76,1.44,2.55
Newcastle Utd,23,28.1,51.2,11,121,990,11.0,11,6,17,10,1,1,14,2,12.8,12.0,9.8,21.8,181,511,1.00,0.55,1.55,0.91,1.45,1.16,0.89,2.05,1.09,1.98
Nott'ham Forest,25,26.5,52.5,11,121,990,11.0,10,5,15,9,1,1,20,0,13.5,12.7,9.8,22.5,195,491,0.91,0.45,1.36,0.82,1.27,1.23,0.89,2.12,1.16,2.05
Sunderland,23,25.7,43.4,11,121,990,11.0,13,9,22,12,1,1,19,1,10.2,9.5,6.8,16.3,136,322,1.18,0.82,2.00,1.09,1.91,0.93,0.62,1.55,0.86,1.48
Tottenham,20,25.8,53.7,11,121,990,11.0,18,16,34,18,0,0,26,0,11.0,11.0,8.5,19.5,200,398,1.64,1.45,3.09,1.64,3.09,1.00,0.77,1.77,1.00,1.77
West Ham,25,27.2,46.0,11,121,990,11.0,12,6,18,11,1,1,17,1,12.3,11.5,7.2,18.7,128,347,1.09,0.55,1.64,1.00,1.55,1.12,0.65,1.77,1.05,1.70
Wolves,24,26.8,47.2,11,121,990,11.0,6,4,10,5,1,1,20,2,9.6,8.9,5.9,14.7,158,338,0.55,0.36,0.91,0.45,0.82,0.88,0.53,1.41,0.80,1.34
